1,2#1_1_1,2#1_2_1,2#1_3_1,2#1_4_1,2#1_5_1,2#1_6_1,3,3_5_TEXT,4,4a,5,6,7,8,8a,9,9a,10,10_7_TEXT,11,12,13,14,15,16,17,18,19,20,20_6_TEXT,21,22,23,24,25,26,27,28,29,30,31,32,33,33_3_TEXT,34,35,36,37,38,39,40,41,41_2_TEXT,Comments
4,72,70,15,7,,,1,,12,,3,3,2,58,,8,,"2,3,4",,2,2,"1,2,4,13,6","1,3,5",1,"1,10",3,3,2,,,1,3,2,,,,,,,2,2,,,,2,,,,,,,,,"Happy, grateful, and thankful "
4,38,19,17,8,,,1,,,,3,1,1,58,,8,,1,,1,2,"1,2,3,6,8,9,10,11,12","1,3",1,1,1,1,2,,,2,3,2,,,,,,,2,2,,,,2,,,,,,,,,
2,44,11,,,,,1,,30,,3,5,2,58,,8,,1,,1,2,"1,2,3,5,6",2,1,"1,6,8,10,15,18",2,2,,1,,1,1,2,,,,,,,2,2,,,,1,11,"3,4,5",2,3,1,6,2,,I like getting the box of food ever month
3,52,48,7,,,,5,Preschool teacher,57,,2,"3,4,5",2,58,,8,,1,,1,3,"1,2,3,6,7","1,2,3,4",2,"1,6",2,1,2,,,1,1,2,,,,,,,2,2,,,,2,,,,,,,,,
5,27,23,22,57,59,6,5,Facebook,,,3,1,1,58,,8,,,,4,1,"1,2,3,6,11",4,2,9,2,2,2,,,2,3,1,2,"1,2,3","3,4,6",1,3,2,2,2,,,,2,,,,,,,,,
2,68,72,,,,,1,,57,,2,3,2,2,,2,,1,,1,3,"1,6,7,9,11","2,6",2,"1,8,16",1,1,1,2,,1,1,2,,,,,,,2,,,,,2,,,,,,,,,
3,38,16,15,,,,1,,57,,1,"1,4",2,40,,16,,5,,1,2,"1,2,3,5,6,7,11,12","1,2,3",,,2,2,2,,,1,3,2,,,,,,,2,2,,,,2,,,,,,,,,I am so thankful for ur Help !!!
5,31,32,12,8,2,,1,,57,Friend ,2,1,1,47,,18,,7,Kosher,1,4,"1,13,5,6,7,11,12","1,2,3",2,"4,9",2,2,1,5,,1,1,1,1,1,"1,4,6,7",1,1,1,2,2,,,,1,11,"1,2,5,6,11","1,2",4,1,1,1,,Thank you for the help.
2,53,26,,,,,2,,51,,3,5,2,20,,8,,"2,4",,1,1,"1,2,5,6,11","1,3,6",1,"10,15",2,,2,,,1,1,2,,,,,,,2,2,,,,2,,,,,,,,,No comments  .God  bless me  & the Jewish  relief agency  To bring me some food  for my  needs 🙏 
4,40,41,14,13,,,1,,30,,4,1,1,22,,3,,1,,1,2,"1,2,3,4,11,12","2,3,4",1,19,2,,2,,,1,1,1,1,"2,3","1,3,6",1,1,1,2,2,,,,1,11,"1,9",2,1,1,6,1,,"I would like to receive dish soap, laundry detergent and toilet paper "
5,37,38,6,6,3,,4,,,,2,4,2,59,Turkey,21,Turkish,1,,2,2,"1,2,6,7,12",3,1,6,2,2,2,,,1,3,1,2,3,"3,4,6",1,1,2,2,2,,,,1,11,"1,2,9",2,1,1,6,1,,Thank you!
3,48,52,19,,,,1,,57,,3,2,1,47,,15,,,,1,4,"4,13,7,11","2,4",1,19,3,3,2,,,1,3,2,,,,,,,2,2,,,,1,12,"1,2,4,5,6,7",2,3,1,6,1,,Thank you very much especially to everyone that helps to deliver the boxes. May God bless you all!
